YearMonth,Total Revenue
2010-02,3410661.1199999996
2010-05,2587973.26
2010-06,1082418.4
2010-10,6064933.75
2010-11,3458252.0
2010-12,2581786.39
2011-01,1042225.3500000001
2011-02,387002.2
2011-04,2798046.49
2011-05,272410.45
2011-06,19103.44
2011-07,97040.64
2011-09,574951.92
2011-11,5938385.58
2012-01,1012884.0
2012-02,6707849.42
2012-03,994765.42
2012-04,4556012.38
2012-05,3782781.82
2012-06,2132075.27
2012-07,4445093.92
2012-08,576782.8
2012-09,4648152.720000001
2012-10,3042246.7699999996
2013-02,3296425.02
2013-03,835759.1
2013-04,3262562.1
2013-06,1352867.4
2013-07,8545511.2
2013-08,89623.98
2013-09,71253.21
2013-10,2702770.4
2013-12,173676.25
2014-02,1819660.25
2014-04,4510578.1
2014-05,3060338.59
2014-06,75591.66
2014-07,688641.85
2014-08,455479.04
2014-09,20404.71
2014-10,1352370.65
2014-11,4647149.58
2015-01,5513227.5
2015-02,2003911.1199999999
2015-04,1059987.26
2015-07,1292409.45
2015-08,6279.09
2015-10,1904138.04
2015-11,648030.4
2016-03,197883.4
2016-05,414371.1
2016-06,568269.6
2016-07,600821.44
2016-10,221117.0
2016-11,5876405.199999999
2016-12,4493999.4799999995
2017-01,2914130.27
2017-02,7115008.640000001
2017-03,246415.95
2017-05,3097864.77
